date,tournament,team,opponent,goals,is_home,total_weight
2018-01-02,Gulf Cup,Iraq,United Arab Emirates,0,FALSE,0.05358905522479692
2018-01-02,Gulf Cup,Oman,Bahrain,1,FALSE,0.05358905522479692
2018-01-02,Gulf Cup,United Arab Emirates,Iraq,0,FALSE,0.05358905522479692
2018-01-02,Gulf Cup,Bahrain,Oman,0,FALSE,0.05358905522479692
2018-01-05,Gulf Cup,Oman,United Arab Emirates,0,FALSE,0.053741923954864344
2018-01-05,Gulf Cup,United Arab Emirates,Oman,0,FALSE,0.053741923954864344
2018-01-07,Friendly,Estonia,Sweden,1,FALSE,0.02692203931438243
2018-01-07,Friendly,Sweden,Estonia,1,FALSE,0.02692203931438243
2018-01-11,Friendly,Denmark,Sweden,0,FALSE,0.02702448544201432
2018-01-11,Friendly,Indonesia,Iceland,0,TRUE,0.02702448544201432
2018-01-11,Friendly,Jordan,Finland,1,FALSE,0.02702448544201432
2018-01-11,Friendly,Sweden,Denmark,1,FALSE,0.02702448544201432
2018-01-11,Friendly,Iceland,Indonesia,6,FALSE,0.02702448544201432
2018-01-11,Friendly,Finland,Jordan,2,FALSE,0.02702448544201432
2018-01-14,Friendly,Indonesia,Iceland,1,TRUE,0.027101575787289424
2018-01-14,Friendly,Iceland,Indonesia,4,FALSE,0.027101575787289424
2018-01-27,Friendly,Moldova,South Korea,0,FALSE,0.027438183185966285
2018-01-27,Friendly,South Korea,Moldova,1,FALSE,0.027438183185966285
2018-01-28,Friendly,United States,Bosnia and Herzegovina,0,TRUE,0.027464248571527527
2018-01-28,Friendly,Yorkshire,Ellan Vannin,1,TRUE,0.027464248571527527
2018-01-28,Friendly,Bosnia and Herzegovina,United States,0,FALSE,0.027464248571527527
2018-01-28,Friendly,Ellan Vannin,Yorkshire,1,FALSE,0.027464248571527527
2018-01-30,Friendly,Azerbaijan,Moldova,0,FALSE,0.02751645364998923
2018-01-30,Friendly,Jamaica,South Korea,2,FALSE,0.02751645364998923
2018-01-30,Friendly,Moldova,Azerbaijan,0,FALSE,0.02751645364998923
2018-01-30,Friendly,South Korea,Jamaica,2,FALSE,0.02751645364998923
2018-01-31,Friendly,Mexico,Bosnia and Herzegovina,1,FALSE,0.02754259338995686
2018-01-31,Friendly,Bosnia and Herzegovina,Mexico,0,FALSE,0.02754259338995686
2018-02-03,Friendly,Latvia,South Korea,0,FALSE,0.02762116169567944
2018-02-03,Friendly,South Korea,Latvia,1,FALSE,0.02762116169567944
2018-02-26,Friendly,Saudi Arabia,Moldova,3,TRUE,0.02823101202262902
2018-02-26,Friendly,Moldova,Saudi Arabia,0,FALSE,0.02823101202262902
2018-02-28,Friendly,Iraq,Saudi Arabia,4,TRUE,0.028284674593948102
2018-02-28,Friendly,Saudi Arabia,Iraq,1,FALSE,0.028284674593948102
2018-03-17,Friendly,Iran,Sierra Leone,4,TRUE,0.02874494448672317
2018-03-17,Friendly,Sierra Leone,Iran,0,FALSE,0.02874494448672317
2018-03-21,Friendly,Andorra,Liechtenstein,1,FALSE,0.02885432729451387
2018-03-21,Friendly,Antigua and Barbuda,Bermuda,3,TRUE,0.02885432729451387
2018-03-21,Friendly,Iraq,Qatar,2,TRUE,0.02885432729451387
2018-03-21,Friendly,Jordan,Kuwait,1,TRUE,0.02885432729451387
2018-03-21,Friendly,Laos,Cambodia,0,TRUE,0.02885432729451387
2018-03-21,Friendly,Madagascar,Togo,0,FALSE,0.02885432729451387
2018-03-21,Friendly,South Africa,Angola,1,FALSE,0.02885432729451387
2018-03-21,Friendly,Tahiti,New Caledonia,0,TRUE,0.02885432729451387
2018-03-21,Friendly,Zambia,Zimbabwe,2,TRUE,0.02885432729451387
2018-03-21,Friendly,Liechtenstein,Andorra,0,FALSE,0.02885432729451387
2018-03-21,Friendly,Bermuda,Antigua and Barbuda,2,FALSE,0.02885432729451387
2018-03-21,Friendly,Qatar,Iraq,3,FALSE,0.02885432729451387
2018-03-21,Friendly,Kuwait,Jordan,0,FALSE,0.02885432729451387
2018-03-21,Friendly,Cambodia,Laos,1,FALSE,0.02885432729451387
2018-03-21,Friendly,Togo,Madagascar,0,FALSE,0.02885432729451387
2018-03-21,Friendly,Angola,South Africa,1,FALSE,0.02885432729451387
2018-03-21,Friendly,New Caledonia,Tahiti,0,FALSE,0.02885432729451387
2018-03-21,Friendly,Zimbabwe,Zambia,2,FALSE,0.02885432729451387
2018-03-22,Friendly,Algeria,Tanzania,4,TRUE,0.028881737971122607
2018-03-22,Friendly,Bahrain,Palestine,0,TRUE,0.028881737971122607
2018-03-22,Friendly,Belize,Grenada,4,TRUE,0.028881737971122607
2018-03-22,Friendly,Burkina Faso,Guinea-Bissau,2,FALSE,0.028881737971122607
2018-03-22,Friendly,China PR,Wales,0,TRUE,0.028881737971122607
2018-03-22,Friendly,Denmark,Panama,1,TRUE,0.028881737971122607
2018-03-22,Friendly,Dominican Republic,Turks and Caicos Islands,4,TRUE,0.028881737971122607
2018-03-22,Friendly,Faroe Islands,Latvia,1,FALSE,0.028881737971122607
2018-03-22,AFC Asian Cup qualification,Kyrgyzstan,Myanmar,5,FALSE,0.11552695188449043
2018-03-22,Friendly,Macau,Mauritius,0,TRUE,0.028881737971122607
2018-03-22,Friendly,Malaysia,Mongolia,2,TRUE,0.028881737971122607
2018-03-22,Friendly,Malta,Luxembourg,0,TRUE,0.028881737971122607
2018-03-22,Friendly,Nicaragua,Cuba,3,TRUE,0.028881737971122607
2018-03-22,Friendly,Philippines,Fiji,3,TRUE,0.028881737971122607
2018-03-22,Friendly,Slovakia,United Arab Emirates,2,FALSE,0.028881737971122607
2018-03-22,Friendly,Thailand,Gabon,0,TRUE,0.028881737971122607
2018-03-22,Friendly,Tanzania,Algeria,1,FALSE,0.028881737971122607
2018-03-22,Friendly,Palestine,Bahrain,0,FALSE,0.028881737971122607
2018-03-22,Friendly,Grenada,Belize,2,FALSE,0.028881737971122607
2018-03-22,Friendly,Guinea-Bissau,Burkina Faso,0,FALSE,0.028881737971122607
2018-03-22,Friendly,Wales,China PR,6,FALSE,0.028881737971122607
2018-03-22,Friendly,Panama,Denmark,0,FALSE,0.028881737971122607
2018-03-22,Friendly,Turks and Caicos Islands,Dominican Republic,0,FALSE,0.028881737971122607
2018-03-22,Friendly,Latvia,Faroe Islands,1,FALSE,0.028881737971122607
2018-03-22,AFC Asian Cup qualification,Myanmar,Kyrgyzstan,1,FALSE,0.11552695188449043
2018-03-22,Friendly,Mauritius,Macau,1,FALSE,0.028881737971122607
2018-03-22,Friendly,Mongolia,Malaysia,2,FALSE,0.028881737971122607
2018-03-22,Friendly,Luxembourg,Malta,1,FALSE,0.028881737971122607
2018-03-22,Friendly,Cuba,Nicaragua,1,FALSE,0.028881737971122607
2018-03-22,Friendly,Fiji,Philippines,2,FALSE,0.028881737971122607
2018-03-22,Friendly,United Arab Emirates,Slovakia,1,FALSE,0.028881737971122607
2018-03-22,Friendly,Gabon,Thailand,0,FALSE,0.028881737971122607
2018-03-23,Friendly,Austria,Slovenia,3,TRUE,0.028909174686986547
2018-03-23,Friendly,Azerbaijan,Belarus,0,TRUE,0.028909174686986547
2018-03-23,Friendly,Bulgaria,Bosnia and Herzegovina,0,TRUE,0.028909174686986547
2018-03-23,Friendly,Curaçao,Bolivia,1,TRUE,0.028909174686986547
2018-03-23,Friendly,Cyprus,Montenegro,0,TRUE,0.028909174686986547
2018-03-23,Friendly,Finland,North Macedonia,0,FALSE,0.028909174686986547
2018-03-23,Friendly,France,Colombia,2,TRUE,0.028909174686986547
2018-03-23,Friendly,Gambia,Central African Republic,1,TRUE,0.028909174686986547
2018-03-23,Friendly,Germany,Spain,1,TRUE,0.028909174686986547
2018-03-23,Friendly,Greece,Switzerland,0,TRUE,0.028909174686986547
2018-03-23,Friendly,Guadeloupe,Trinidad and Tobago,0,TRUE,0.028909174686986547
2018-03-23,Friendly,Hungary,Kazakhstan,2,TRUE,0.028909174686986547
2018-03-23,Friendly,Italy,Argentina,0,FALSE,0.028909174686986547
2018-03-23,Friendly,Japan,Mali,1,FALSE,0.028909174686986547
2018-03-23,Friendly,Mexico,Iceland,3,FALSE,0.028909174686986547
2018-03-23,Friendly,Netherlands,England,0,TRUE,0.028909174686986547
2018-03-23,Friendly,Norway,Australia,4,TRUE,0.028909174686986547
2018-03-23,Friendly,Peru,Croatia,2,FALSE,0.028909174686986547
2018-03-23,Friendly,Poland,Nigeria,0,TRUE,0.028909174686986547
2018-03-23,Friendly,Portugal,Egypt,2,FALSE,0.028909174686986547
2018-03-23,Friendly,Russia,Brazil,0,TRUE,0.028909174686986547
2018-03-23,Friendly,Scotland,Costa Rica,0,TRUE,0.028909174686986547
2018-03-23,Friendly,Senegal,Uzbekistan,1,FALSE,0.028909174686986547
2018-03-23,Friendly,Serbia,Morocco,1,FALSE,0.028909174686986547
2018-03-23,Friendly,Singapore,Maldives,3,TRUE,0.028909174686986547
2018-03-23,Friendly,Tunisia,Iran,1,TRUE,0.028909174686986547
2018-03-23,Friendly,Turkey,Republic of Ireland,1,TRUE,0.028909174686986547
2018-03-23,Friendly,Ukraine,Saudi Arabia,1,FALSE,0.028909174686986547
2018-03-23,Friendly,Uruguay,Czech Republic,2,FALSE,0.028909174686986547
2018-03-23,Friendly,Slovenia,Austria,0,FALSE,0.028909174686986547
2018-03-23,Friendly,Belarus,Azerbaijan,1,FALSE,0.028909174686986547
2018-03-23,Friendly,Bosnia and Herzegovina,Bulgaria,1,FALSE,0.028909174686986547
2018-03-23,Friendly,Bolivia,Curaçao,1,FALSE,0.028909174686986547
2018-03-23,Friendly,Montenegro,Cyprus,0,FALSE,0.028909174686986547
2018-03-23,Friendly,North Macedonia,Finland,0,FALSE,0.028909174686986547
2018-03-23,Friendly,Colombia,France,3,FALSE,0.028909174686986547
2018-03-23,Friendly,Central African Republic,Gambia,1,FALSE,0.028909174686986547
2018-03-23,Friendly,Spain,Germany,1,FALSE,0.028909174686986547
2018-03-23,Friendly,Switzerland,Greece,1,FALSE,0.028909174686986547
2018-03-23,Friendly,Trinidad and Tobago,Guadeloupe,1,FALSE,0.028909174686986547
2018-03-23,Friendly,Kazakhstan,Hungary,3,FALSE,0.028909174686986547
2018-03-23,Friendly,Argentina,Italy,2,FALSE,0.028909174686986547
2018-03-23,Friendly,Mali,Japan,1,FALSE,0.028909174686986547
2018-03-23,Friendly,Iceland,Mexico,0,FALSE,0.028909174686986547
2018-03-23,Friendly,England,Netherlands,1,FALSE,0.028909174686986547
2018-03-23,Friendly,Australia,Norway,1,FALSE,0.028909174686986547
2018-03-23,Friendly,Croatia,Peru,0,FALSE,0.028909174686986547
2018-03-23,Friendly,Nigeria,Poland,1,FALSE,0.028909174686986547
2018-03-23,Friendly,Egypt,Portugal,1,FALSE,0.028909174686986547
2018-03-23,Friendly,Brazil,Russia,3,FALSE,0.028909174686986547
2018-03-23,Friendly,Costa Rica,Scotland,1,FALSE,0.028909174686986547
2018-03-23,Friendly,Uzbekistan,Senegal,1,FALSE,0.028909174686986547
2018-03-23,Friendly,Morocco,Serbia,2,FALSE,0.028909174686986547
2018-03-23,Friendly,Maldives,Singapore,2,FALSE,0.028909174686986547
2018-03-23,Friendly,Iran,Tunisia,0,FALSE,0.028909174686986547
2018-03-23,Friendly,Republic of Ireland,Turkey,0,FALSE,0.028909174686986547
2018-03-23,Friendly,Saudi Arabia,Ukraine,1,FALSE,0.028909174686986547
2018-03-23,Friendly,Czech Republic,Uruguay,0,FALSE,0.028909174686986547
2018-03-24,Friendly,Angola,Zimbabwe,2,FALSE,0.02893663746684214
2018-03-24,Friendly,Armenia,Estonia,0,TRUE,0.02893663746684214
2018-03-24,Friendly,Botswana,Lesotho,1,TRUE,0.02893663746684214
2018-03-24,Friendly,Canada,New Zealand,1,FALSE,0.02893663746684214
2018-03-24,Friendly,Comoros,Kenya,2,FALSE,0.02893663746684214
2018-03-24,Friendly,Georgia,Lithuania,4,TRUE,0.02893663746684214
2018-03-24,Friendly,Israel,Romania,1,TRUE,0.02893663746684214
2018-03-24,Friendly,Ivory Coast,Togo,2,FALSE,0.02893663746684214
2018-03-24,Friendly,Kosovo,Madagascar,1,FALSE,0.02893663746684214
2018-03-24,Friendly,Mauritania,Guinea,2,TRUE,0.02893663746684214
2018-03-24,Friendly,Northern Ireland,South Korea,2,TRUE,0.02893663746684214
2018-03-24,Friendly,Qatar,Syria,2,FALSE,0.02893663746684214
2018-03-24,Friendly,Sweden,Chile,1,TRUE,0.02893663746684214
2018-03-24,Friendly,Tahiti,New Caledonia,4,TRUE,0.02893663746684214
2018-03-24,Friendly,Uganda,São Tomé and Príncipe,3,TRUE,0.02893663746684214
2018-03-24,Friendly,Zambia,South Africa,0,TRUE,0.02893663746684214
2018-03-24,Muratti Vase,Alderney,Guernsey,0,TRUE,0.05787327493368428
2018-03-24,Friendly,Zimbabwe,Angola,2,FALSE,0.02893663746684214
2018-03-24,Friendly,Estonia,Armenia,0,FALSE,0.02893663746684214
2018-03-24,Friendly,Lesotho,Botswana,0,FALSE,0.02893663746684214
2018-03-24,Friendly,New Zealand,Canada,0,FALSE,0.02893663746684214
2018-03-24,Friendly,Kenya,Comoros,2,FALSE,0.02893663746684214
2018-03-24,Friendly,Lithuania,Georgia,0,FALSE,0.02893663746684214
2018-03-24,Friendly,Romania,Israel,2,FALSE,0.02893663746684214
2018-03-24,Friendly,Togo,Ivory Coast,2,FALSE,0.02893663746684214
2018-03-24,Friendly,Madagascar,Kosovo,0,FALSE,0.02893663746684214
2018-03-24,Friendly,Guinea,Mauritania,0,FALSE,0.02893663746684214
2018-03-24,Friendly,South Korea,Northern Ireland,1,FALSE,0.02893663746684214
2018-03-24,Friendly,Syria,Qatar,2,FALSE,0.02893663746684214
2018-03-24,Friendly,Chile,Sweden,2,FALSE,0.02893663746684214
2018-03-24,Friendly,New Caledonia,Tahiti,3,FALSE,0.02893663746684214
2018-03-24,Friendly,São Tomé and Príncipe,Uganda,1,FALSE,0.02893663746684214
2018-03-24,Friendly,South Africa,Zambia,2,FALSE,0.02893663746684214
2018-03-24,Muratti Vase,Guernsey,Alderney,2,FALSE,0.05787327493368428
2018-03-25,Friendly,Barbados,Bermuda,0,TRUE,0.028964126335449335
2018-03-25,Friendly,Dominican Republic,Saint Kitts and Nevis,2,TRUE,0.028964126335449335
2018-03-25,Friendly,Faroe Islands,Liechtenstein,3,FALSE,0.028964126335449335
2018-03-25,Friendly,Gibraltar,Latvia,1,TRUE,0.028964126335449335
2018-03-25,Friendly,Jamaica,Antigua and Barbuda,1,TRUE,0.028964126335449335
2018-03-25,Friendly,Kuwait,Cameroon,1,TRUE,0.028964126335449335
2018-03-25,Friendly,Martinique,Trinidad and Tobago,0,TRUE,0.028964126335449335
2018-03-25,Friendly,Nicaragua,Cuba,3,TRUE,0.028964126335449335
2018-03-25,Friendly,Thailand,Slovakia,2,TRUE,0.028964126335449335
2018-03-25,Friendly,Yorkshire,Chagos Islands,6,TRUE,0.028964126335449335
2018-03-25,Friendly,Bermuda,Barbados,0,FALSE,0.028964126335449335
2018-03-25,Friendly,Saint Kitts and Nevis,Dominican Republic,1,FALSE,0.028964126335449335
2018-03-25,Friendly,Liechtenstein,Faroe Islands,0,FALSE,0.028964126335449335
2018-03-25,Friendly,Latvia,Gibraltar,0,FALSE,0.028964126335449335
2018-03-25,Friendly,Antigua and Barbuda,Jamaica,1,FALSE,0.028964126335449335
2018-03-25,Friendly,Cameroon,Kuwait,3,FALSE,0.028964126335449335
2018-03-25,Friendly,Trinidad and Tobago,Martinique,0,FALSE,0.028964126335449335
2018-03-25,Friendly,Cuba,Nicaragua,3,FALSE,0.028964126335449335
2018-03-25,Friendly,Slovakia,Thailand,3,FALSE,0.028964126335449335
2018-03-25,Friendly,Chagos Islands,Yorkshire,0,FALSE,0.028964126335449335
2018-03-26,Friendly,Albania,Norway,0,TRUE,0.028991641317591597
2018-03-26,Friendly,Bulgaria,Kazakhstan,2,FALSE,0.028991641317591597
2018-03-26,Friendly,China PR,Czech Republic,1,TRUE,0.028991641317591597
2018-03-26,Friendly,Curaçao,Bolivia,1,TRUE,0.028991641317591597
2018-03-26,Friendly,Finland,Malta,5,FALSE,0.028991641317591597
2018-03-26,Friendly,Portugal,Netherlands,0,FALSE,0.028991641317591597
2018-03-26,Friendly,Wales,Uruguay,0,FALSE,0.028991641317591597
2018-03-26,Friendly,Norway,Albania,1,FALSE,0.028991641317591597
2018-03-26,Friendly,Kazakhstan,Bulgaria,1,FALSE,0.028991641317591597
2018-03-26,Friendly,Czech Republic,China PR,4,FALSE,0.028991641317591597
2018-03-26,Friendly,Bolivia,Curaçao,0,FALSE,0.028991641317591597
2018-03-26,Friendly,Malta,Finland,0,FALSE,0.028991641317591597
2018-03-26,Friendly,Netherlands,Portugal,3,FALSE,0.028991641317591597
2018-03-26,Friendly,Uruguay,Wales,1,FALSE,0.028991641317591597
2018-03-27,AFC Asian Cup qualification,Afghanistan,Cambodia,2,FALSE,0.11607672975230378
2018-03-27,Friendly,Algeria,Iran,1,FALSE,0.029019182438075945
2018-03-27,Friendly,Armenia,Lithuania,0,TRUE,0.029019182438075945
2018-03-27,Friendly,Australia,Colombia,0,FALSE,0.029019182438075945
2018-03-27,Friendly,Azerbaijan,North Macedonia,1,FALSE,0.029019182438075945
2018-03-27,AFC Asian Cup qualification,Bahrain,Turkmenistan,4,TRUE,0.11607672975230378
2018-03-27,Friendly,Belgium,Saudi Arabia,4,TRUE,0.029019182438075945
2018-03-27,Friendly,Bosnia and Herzegovina,Senegal,0,FALSE,0.029019182438075945
2018-03-27,AFC Asian Cup qualification,Myanmar,Macau,1,TRUE,0.11607672975230378
2018-03-27,Friendly,Central African Republic,Kenya,3,FALSE,0.029019182438075945
2018-03-27,Friendly,Denmark,Chile,0,TRUE,0.029019182438075945
2018-03-27,Friendly,England,Italy,1,TRUE,0.029019182438075945
2018-03-27,Friendly,Georgia,Estonia,2,TRUE,0.029019182438075945
2018-03-27,Friendly,Germany,Brazil,0,TRUE,0.029019182438075945
2018-03-27,Friendly,Greece,Egypt,1,FALSE,0.029019182438075945
2018-03-27,Friendly,Hungary,Scotland,0,TRUE,0.029019182438075945
2018-03-27,Friendly,Iraq,Syria,1,TRUE,0.029019182438075945
2018-03-27,AFC Asian Cup qualification,Jordan,Vietnam,1,TRUE,0.11607672975230378
2018-03-27,AFC Asian Cup qualification,North Korea,Hong Kong,2,TRUE,0.11607672975230378
2018-03-27,Friendly,Kosovo,Burkina Faso,2,FALSE,0.029019182438075945
2018-03-27,AFC Asian Cup qualification,Kyrgyzstan,India,2,TRUE,0.11607672975230378
2018-03-27,Friendly,Laos,Bangladesh,2,TRUE,0.029019182438075945
2018-03-27,AFC Asian Cup qualification,Lebanon,Malaysia,2,TRUE,0.11607672975230378
2018-03-27,Friendly,Luxembourg,Austria,0,TRUE,0.029019182438075945
2018-03-27,AFC Asian Cup qualification,Maldives,Bhutan,7,TRUE,0.11607672975230378
2018-03-27,Friendly,Mexico,Croatia,0,FALSE,0.029019182438075945
2018-03-27,Friendly,Moldova,Ivory Coast,1,FALSE,0.029019182438075945
2018-03-27,Friendly,Mongolia,Mauritius,0,TRUE,0.029019182438075945
2018-03-27,Friendly,Montenegro,Turkey,2,TRUE,0.029019182438075945
2018-03-27,Friendly,Morocco,Uzbekistan,2,TRUE,0.029019182438075945
2018-03-27,Friendly,Namibia,Lesotho,2,TRUE,0.029019182438075945
2018-03-27,AFC Asian Cup qualification,Oman,Palestine,1,TRUE,0.11607672975230378
2018-03-27,Friendly,Peru,Iceland,3,FALSE,0.029019182438075945
2018-03-27,AFC Asian Cup qualification,Philippines,Tajikistan,2,TRUE,0.11607672975230378
2018-03-27,Friendly,Poland,South Korea,3,TRUE,0.029019182438075945
2018-03-27,Friendly,Romania,Sweden,1,TRUE,0.029019182438075945
2018-03-27,Friendly,Russia,France,1,TRUE,0.029019182438075945
2018-03-27,Friendly,Serbia,Nigeria,2,FALSE,0.029019182438075945
2018-03-27,Friendly,Seychelles,Eswatini,0,TRUE,0.029019182438075945
2018-03-27,Friendly,Slovenia,Belarus,0,TRUE,0.029019182438075945
2018-03-27,Friendly,Spain,Argentina,6,TRUE,0.029019182438075945
2018-03-27,Friendly,Switzerland,Panama,6,TRUE,0.029019182438075945
2018-03-27,AFC Asian Cup qualification,Taiwan,Singapore,1,TRUE,0.11607672975230378
2018-03-27,Friendly,Tanzania,DR Congo,2,TRUE,0.029019182438075945
2018-03-27,Friendly,Tunisia,Costa Rica,1,FALSE,0.029019182438075945
2018-03-27,Friendly,Uganda,Malawi,0,TRUE,0.029019182438075945
2018-03-27,Friendly,Ukraine,Japan,2,FALSE,0.029019182438075945
2018-03-27,Friendly,United States,Paraguay,1,TRUE,0.029019182438075945
2018-03-27,AFC Asian Cup qualification,Yemen,Nepal,2,FALSE,0.11607672975230378
2018-03-27,AFC Asian Cup qualification,Cambodia,Afghanistan,1,FALSE,0.11607672975230378
2018-03-27,Friendly,Iran,Algeria,2,FALSE,0.029019182438075945
2018-03-27,Friendly,Lithuania,Armenia,1,FALSE,0.029019182438075945
2018-03-27,Friendly,Colombia,Australia,0,FALSE,0.029019182438075945
2018-03-27,Friendly,North Macedonia,Azerbaijan,1,FALSE,0.029019182438075945
2018-03-27,AFC Asian Cup qualification,Turkmenistan,Bahrain,0,FALSE,0.11607672975230378
2018-03-27,Friendly,Saudi Arabia,Belgium,0,FALSE,0.029019182438075945
2018-03-27,Friendly,Senegal,Bosnia and Herzegovina,0,FALSE,0.029019182438075945
2018-03-27,AFC Asian Cup qualification,Macau,Myanmar,0,FALSE,0.11607672975230378
2018-03-27,Friendly,Kenya,Central African Republic,2,FALSE,0.029019182438075945
2018-03-27,Friendly,Chile,Denmark,0,FALSE,0.029019182438075945
2018-03-27,Friendly,Italy,England,1,FALSE,0.029019182438075945
2018-03-27,Friendly,Estonia,Georgia,0,FALSE,0.029019182438075945
2018-03-27,Friendly,Brazil,Germany,1,FALSE,0.029019182438075945
2018-03-27,Friendly,Egypt,Greece,0,FALSE,0.029019182438075945
2018-03-27,Friendly,Scotland,Hungary,1,FALSE,0.029019182438075945
2018-03-27,Friendly,Syria,Iraq,1,FALSE,0.029019182438075945
2018-03-27,AFC Asian Cup qualification,Vietnam,Jordan,1,FALSE,0.11607672975230378
2018-03-27,AFC Asian Cup qualification,Hong Kong,North Korea,0,FALSE,0.11607672975230378
2018-03-27,Friendly,Burkina Faso,Kosovo,0,FALSE,0.029019182438075945
2018-03-27,AFC Asian Cup qualification,India,Kyrgyzstan,1,FALSE,0.11607672975230378
2018-03-27,Friendly,Bangladesh,Laos,2,FALSE,0.029019182438075945
2018-03-27,AFC Asian Cup qualification,Malaysia,Lebanon,1,FALSE,0.11607672975230378
2018-03-27,Friendly,Austria,Luxembourg,4,FALSE,0.029019182438075945
2018-03-27,AFC Asian Cup qualification,Bhutan,Maldives,0,FALSE,0.11607672975230378
2018-03-27,Friendly,Croatia,Mexico,1,FALSE,0.029019182438075945
2018-03-27,Friendly,Ivory Coast,Moldova,2,FALSE,0.029019182438075945
2018-03-27,Friendly,Mauritius,Mongolia,2,FALSE,0.029019182438075945
2018-03-27,Friendly,Turkey,Montenegro,2,FALSE,0.029019182438075945
2018-03-27,Friendly,Uzbekistan,Morocco,0,FALSE,0.029019182438075945
2018-03-27,Friendly,Lesotho,Namibia,1,FALSE,0.029019182438075945
2018-03-27,AFC Asian Cup qualification,Palestine,Oman,0,FALSE,0.11607672975230378
2018-03-27,Friendly,Iceland,Peru,1,FALSE,0.029019182438075945
2018-03-27,AFC Asian Cup qualification,Tajikistan,Philippines,1,FALSE,0.11607672975230378
2018-03-27,Friendly,South Korea,Poland,2,FALSE,0.029019182438075945
2018-03-27,Friendly,Sweden,Romania,0,FALSE,0.029019182438075945
2018-03-27,Friendly,France,Russia,3,FALSE,0.029019182438075945
2018-03-27,Friendly,Nigeria,Serbia,0,FALSE,0.029019182438075945
2018-03-27,Friendly,Eswatini,Seychelles,0,FALSE,0.029019182438075945
2018-03-27,Friendly,Belarus,Slovenia,2,FALSE,0.029019182438075945
2018-03-27,Friendly,Argentina,Spain,1,FALSE,0.029019182438075945
2018-03-27,Friendly,Panama,Switzerland,0,FALSE,0.029019182438075945
2018-03-27,AFC Asian Cup qualification,Singapore,Taiwan,0,FALSE,0.11607672975230378
2018-03-27,Friendly,DR Congo,Tanzania,0,FALSE,0.029019182438075945
2018-03-27,Friendly,Costa Rica,Tunisia,0,FALSE,0.029019182438075945
2018-03-27,Friendly,Malawi,Uganda,0,FALSE,0.029019182438075945
2018-03-27,Friendly,Japan,Ukraine,1,FALSE,0.029019182438075945
2018-03-27,Friendly,Paraguay,United States,0,FALSE,0.029019182438075945
2018-03-27,AFC Asian Cup qualification,Nepal,Yemen,1,FALSE,0.11607672975230378
2018-04-01,Friendly,Malaysia,Bhutan,7,TRUE,0.029157280985525235
2018-04-01,Friendly,Bhutan,Malaysia,0,FALSE,0.029157280985525235
2018-04-08,Friendly,Barawa,Chagos Islands,4,TRUE,0.029351723736557946
2018-04-08,Friendly,Chagos Islands,Barawa,1,FALSE,0.029351723736557946
2018-04-15,Friendly,Barawa,Yorkshire,2,TRUE,0.02954746317857664
2018-04-15,Friendly,Yorkshire,Barawa,7,FALSE,0.02954746317857664
2018-04-18,Friendly,Trinidad and Tobago,Panama,0,TRUE,0.02963175059797367
2018-04-18,Friendly,Zimbabwe,Botswana,0,TRUE,0.02963175059797367
2018-04-18,Friendly,Panama,Trinidad and Tobago,1,FALSE,0.02963175059797367
2018-04-18,Friendly,Botswana,Zimbabwe,1,FALSE,0.02963175059797367
2018-04-26,Friendly,Saint Kitts and Nevis,Jamaica,1,TRUE,0.02985769439410992
2018-04-26,Friendly,Jamaica,Saint Kitts and Nevis,3,FALSE,0.02985769439410992
2018-04-29,Friendly,Ellan Vannin,Panjab,2,FALSE,0.029942866782494495
2018-04-29,Friendly,Saint Barthélemy,Saint Martin,3,TRUE,0.029942866782494495
2018-04-29,Friendly,Panjab,Ellan Vannin,1,FALSE,0.029942866782494495
2018-04-29,Friendly,Saint Martin,Saint Barthélemy,2,FALSE,0.029942866782494495
2018-04-30,Friendly,Antigua and Barbuda,Jamaica,0,TRUE,0.029971311536369227
2018-04-30,Friendly,Jamaica,Antigua and Barbuda,2,FALSE,0.029971311536369227
2018-05-06,Friendly,Barawa,Surrey,1,TRUE,0.03014254841240658
2018-05-06,Friendly,Surrey,Barawa,3,FALSE,0.03014254841240658
2018-05-08,Friendly,Iraq,Palestine,0,TRUE,0.030199844504116755
2018-05-08,Friendly,Palestine,Iraq,0,FALSE,0.030199844504116755
2018-05-09,Friendly,Algeria,Saudi Arabia,0,FALSE,0.030228533378505944
2018-05-09,Friendly,Saudi Arabia,Algeria,2,FALSE,0.030228533378505944
2018-05-11,Friendly,Kuwait,Palestine,2,TRUE,0.03028599291367936
2018-05-11,Friendly,Palestine,Kuwait,0,FALSE,0.03028599291367936
2018-05-12,Muratti Vase,Jersey,Guernsey,1,TRUE,0.06062952725253616
2018-05-12,Muratti Vase,Guernsey,Jersey,0,FALSE,0.06062952725253616
2018-05-15,Friendly,Saudi Arabia,Greece,2,FALSE,0.030401239855386175
2018-05-15,Friendly,Greece,Saudi Arabia,0,FALSE,0.030401239855386175
2018-05-19,Friendly,Iran,Uzbekistan,1,TRUE,0.03051692534495935
2018-05-19,Friendly,Uzbekistan,Iran,0,FALSE,0.03051692534495935
2018-05-20,Friendly,Jordan,Cyprus,3,TRUE,0.03054591543588005
2018-05-20,Friendly,Cyprus,Jordan,0,FALSE,0.03054591543588005
2018-05-25,Friendly,Kuwait,Egypt,1,TRUE,0.030691279508806825
2018-05-25,Friendly,Kenya,Eswatini,0,TRUE,0.030691279508806825
